order_execution_datetime,trader,direction,ticker,expiration,contract_details,contract_price,timeframe,comment,success
04/14/2023 10:47 AM,MariaC82,IN,NVDA,6/16,242.5C,35.1,SWING,STOP AT YOUR OWN RISK **LARGE BULLISH & ALPHA GOLD. SHOULD CATCH ANY RUN UP TO ER. THIS IS A SPECULATIVE TRADE AND AN EXPENSIVE CONTRACT. DONT TAKE THIS IF YOU CANT HANDLE THE MOVES OR CANT TAKE A LARGER LOSS (IF NEEDED) ,1
04/17/2023 10:04 AM,MariaC82,IN,UBER,8/18,35C,2.28,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. RISKY AF. DONT TAKE UNLESS YOURE WILLING TO RISK ALL ,1
04/25/2023 7:30 AM,MariaC82,IN,PHG,10/20,25C,0.75,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH ,0
04/26/2023 9:45 AM,MariaC82,IN,ROST,6/16,105C,5.4,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH ,0
05/01/2023 12:52 PM,MariaC82,IN,PANW,6/21/2024,195C,27.2,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD. ONLY BOUGHT 2 CONTRACTS. 1 FILLED @27.201 FILLED @27.15. DONT TAKE UNLESS YOURE WILLING TO HOLD FOR A LONG TIME ,0
05/10/2023 10:58 AM,MariaC82,IN,GOOGL,8/18,115C,5.3,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH ,1
05/12/2023 12:02 PM,MariaC82,IN,SBUX,10/20,110C,5.85,SWING,STOP AT YOUR OWN RISK SWIFT BULLISH AND ALPHA GOLD ,0
05/17/2023 7:39 AM,MariaC82,IN,DIS,6/2024,110C,6.6,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. SUPER SMALL POSITION. DONT TAKE UNLESS YOURE WILLING TO HOLD INTO NEXT YEAR ,0
05/19/2023 7:22 AM,MariaC82,IN,GOOG,6/23,132C,1.58,SWING,STOP AT YOUR OWN RISK STEADY BULLISH Thread everyone MariaC82 IN GOOG 6 23 132C 1 5 Messages › There are no recent messages in this thread. ,0
05/24/2023 9:03 AM,MariaC82,IN,PFE,1/2024,50C,0.45,SWING,STOP AT YOUR OWN RISK RAPIDFIRE BULLISH ,0
05/25/2023 9:42 AM,MariaC82,IN,TSM,10/20,105C,8.13,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH ,0
06/02/2023 6:46 AM,MariaC82,IN,BA,9/15,215C,13.7,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD. RISKIER TRADE Thread BA 9/15-215C-13.7 5 Messages › There are no recent messages in this thread. masterwayne started a thread: everyone MariaC82 OUT ZS 7 20 125c 17 . See all threads . — 06/02/2023 8:09 AM ,0
06/05/2023 6:33 AM,MariaC82,IN,AAPL,7/21,180C,7.55,SWING,STOP AT YOUR OWN RISK. OUT OF ALL: 7.55 FROM: 1.96 Who'sGotMyMoney? started a thread: BA 9/15-215C-13.7 . See all threads . — 06/06/2023 7:15 PM ,0
06/07/2023 7:07 AM,MariaC82,IN,PLTR,1/2024,25C,1.65,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH. RISKY AF: THIS IS NOT THE FLOW I WOULD TYPICALLY FOLLOWBUT I LIKE THE NAME. DONT TAKE UNLESS WILLING TO LOSE ALL ,0
06/08/2023 12:42 PM,mariac82,IN,AXP,10/20,180C,7.4,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD ,0
06/09/2023 6:45 AM,mariac82,IN,SHOP,7/21,70C,1.3,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH. SUPER RISKY AF. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL ,1
06/12/2023 6:44 AM,mariac82,IN,MRVL,6/23,62.5C,1.77,SWING,STOP AT YOUR OWN RISK. STEADY & RAPIDFIRE BULLISH ,0
06/27/2023 6:42 AM,mariac82,IN,AMZN,9/15,145C,2.77,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD. 100% RISK ,1
06/29/2023 7:37 AM,mariac82,IN,FDX,7/14,255C,2.58,SWING,STOP AT YOUR OWN RISK. NO ALERT ON THIS ONEBUT I LIKE THE FLOW. SUPER SMALL POSITION. 100% RISK ,1
07/06/2023 11:57 AM,mariac82,IN,RUN,8/4,18C,1.0,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH/ER RUN UP PLAY ,0
07/07/2023 9:02 AM,mariac82,IN,FSLR,7/21,200C,3.2,SWING,STOP AT YOUR OWN RISK ,1
07/07/2023 10:22 AM,mariac82,IN,CROX,8/18,135C,2.3,SWING,STOP AT YOUR OWN RISK.  STEADY BULLISH.. SUPER RISKY AF. HERO OR ZERO ON THIS ONE. DONT TAKE UNLESS YOURE WILLING TO LOSE ALL ,0
07/10/2023 10:27 AM,mariac82,IN,CRM,7/21,220C,1.3,SWING,STOP AT YOUR OWN RISK. NO ALERT. SAW A LITTLE BIT OF FLOW THAT I LIKED. DON'T TAKE UNLESS WILLING TO LOSE ALL. 100% RISK ,1
07/10/2023 12:50 PM,mariac82,IN,CRM,11/17,230C,9.3,SWING,STOP AT YOUR OWN RISK. FILLED AT 9.30 & 9.35. LARGE BULLISH & ALPHA GOLD ,1
07/12/2023 9:59 AM,mariac82,IN,PANW,9/15,270C,3.95,SWING,STOP AT YOUR OWN RISK. NO ALERT ON THIS ONE. NICE SIZED OPENING SWEEP INTO THIS LINE THAT I'M FOLLOWING. DONT TAKE UNLESS WILLING TO RISK ALL ,0
07/13/2023 8:08 AM,mariac82,IN,ORCL,7/14,118C,0.5,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. ROULETTE BULLISH. 100% RISK. THIS WILL EITHER WORK OR BE A 100% LOSS. DONT TRADE UNLESS YOURE WILLING TO LOSE ALL ,0
07/13/2023 9:44 AM,mariac82,IN,DDOG,7/28,120C,1.19,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY AF ,0
07/17/2023 8:09 AM,mariac82,IN,PATH,8/4,19.5C,0.75,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. SMALL POSITION. 100% RISK ON THIS ONE. DONT TAKE UNLESS WILLING TO LOSE ALL ,0
07/17/2023 9:41 AM,mariac82,IN,SEDG,7/28,290C,7.05,SWING,STOP AT YOUR OWN RISK. NO ALERT ON THIS ONE. NICE LOOKING SWEEP CAME IN. I'M LOOKING TO PLAY A POSSIBLE RUN UP TO ER ,0
07/19/2023 7:36 AM,mariac82,IN,CPRI,11/17,42.5C,2.3,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. RISKY ,0
07/19/2023 8:53 AM,mariac82,IN,MLCO,1/19/2024,12C,2.68,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH ,0
07/19/2023 10:09 AM,mariac82,IN,ETSY,8/4,100C,4.55,SWING,STOP AT YOUR OWN RISK. NO ALERT ON THIS ONE. COMPLETE YOLO/ER RUN UP. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL ,0
07/20/2023 8:55 AM,mariac82,IN,OKTA,11/18,80C,4.4,SWING,STOP AT YOUR OWN RISK. NO ALERT ON THIS ONE. COMPLETE YOLO/ER RUN UP. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL MariaC82 — 07/20/2023 8:57 AM,0
07/20/2023 9:55 AM,mariac82,IN,ALLY,9/15,30C,0.98,SWING,STOP AT YOUR OWN RISK. NO ALERT ON THIS ONE. I JUST LIKE THE FLOW THAT CAME IN. HIGHER RISK TRADE ,0
07/26/2023 9:17 AM,mariac82,IN,CVNA,7/28,45C,1.3,SWING,STOP AT YOUR OWN RISK. ROULETTE BULLISH. 100% RISK. THIS WILL EITHER MAKE MONEY OR I WILL LET IT EXPIRE WORTHLESS. DONT TAKE UNLESS WILLING TO LOSE ALL ,0
07/27/2023 6:55 AM,mariac82,IN,HIMS,1/2025,10C,2.35,SWING,AT YOUR OWN RISK NO ALERT. NICE LINE OF FLOW HERE ,0
08/01/2023 7:08 AM,mariac82,IN,CAT,9/15,310C,2.02,SWING,STOP AT YOUR OWN RISK. CORRECTING PREVIOUS POST: STRIKE IS 310 NOT 315. STOP AT YOUR OWN RISK. SUPER RISKY AF. 100% RISK. NO ALERTJUST FOLLOWING A DECENT ORDER. DONT TAKE UNLESS WILLING TO LOSE ALL ,0
08/04/2023 6:44 AM,mariac82,IN,MSFT,8/25,330C,9.75,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD ,0
08/04/2023 9:43 AM,mariac82,IN,NOW,8/11,580C,2.5,SWING,STOP AT YOUR OWN RISK REPEATER & SWIFT BULLISH FLOW ALERTS. RISKIER TRADE. DONT TAKE IT UNLESS YOURE WILLING TO LOSE IT ALL ,0
08/07/2023 7:09 AM,mariac82,IN,CRM,10/20,240C,5.0,SWING,STOP AT YOUR OWN RISK. NO ALERT. DECENT OPENING LINE IN THE FLOW. RISKY AF. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL ,0
08/08/2023 8:18 AM,mariac82,IN,NET,9/22,80C,1.17,SWING,STOP AT YOUR OWN RISK. STEADY & REPEATER BULLISH. RISKY AF ,0
08/08/2023 11:15 AM,mariac82,IN,RUN,8/11,17.5C,0.43,SWING,STOP AT YOUR OWN RISK. SWIFT & RAPIDFIRE BULLISH. SUPER RISKY AF. 100% RISK ,1
08/10/2023 8:33 AM,mariac82,IN,C,12/15,44C,3.28,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH EARLIER THIS MORNING. WE ALSO ALERTED TEH DEC 40Cs. I LIKE THE 44Cs BETTER AND AM GOING WITH THAT STRIKE. PLEASE DONT TAKE THIS TRADE UNLESS YOURE WILLING TO LOSE IT ALL. BANKS AND I SOMETIMES DONT GET ALONG ,1
08/11/2023 12:44 PM,mariac82,IN,FDX,1/19,290C,11.07,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD ,0
08/17/2023 10:03 AM,mariac82,IN,AAPL,9/29,180C,3.4,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD. RISKIER TRADE ,1
08/21/2023 7:16 AM,mariac82,IN,PYPL,9/29,65C,0.93,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE & STEADY BULLISH. SUPER RISKY AF. THIS WILL EITHER WORK OR IT WONT. 100% RISK. DONT TAKE UNLESS YOURE WILLING TO LOSE ALL ,0
08/25/2023 7:46 AM,mariac82,IN,QQQ,1/8/25,358P,0.95,SCALP,STOP AT YOUR OWN RISK. SUPER RISKY AF TRADE. A COBRA. IT MIGHT WORKIT MIGHT NOT. IF YOU DONT WANT TO LOSEDONT TAKE IT ,0
08/28/2023 6:43 AM,mariac82,IN,GOOGL,9/29,142C,1.0,SWING,STOP AT YOUR OWN RISK. STEADY & RAPIDFIRE BULLISH. THIS ONE IS PROB GOING TO BE VOLATILE. I'M OK WITH IT MOVING AROUND. 100% RISK. IF YOURE NOT OKWITH THATDONT TAKE IT PLEASE ,0
08/30/2023 6:54 AM,mariac82,IN,WIX,10/20,95C,5.0,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH ,0
09/01/2023 6:43 AM,mariac82,IN,UNH,10/20,490C,9.75,SWING,STOP AT YOUR OWN RISK. SUPER RISKY AF. TECHNICAL PLAY. I LIKE THIS AREA FOR A POTENTIAL BOUNCE AND AM OK IF I'M A LITTLE AND WE SEE MORE DOWNSIDE FIRST. THIS IS 100% RISK/COBRA. DONT TAKE THIS UNLESS YOURE WILLING TO LOSE ALL ,1
09/01/2023 10:56 AM,mariac82,IN,OKTA,9/29,95C,0.87,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. 100% RISK ,0
09/07/2023 7:14 AM,mariac82,IN,AMZN,9/8,138C,0.28,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. ROULETTE BULLISH. SUPER RISKY AF. DONT TAKE UNLES WILLING TO LOSE ALL ,1
09/11/2023 10:26 AM,mariac82,IN,QQQ,9/12,377C,0.9,SWING,STOP AT YOUR OWN RISK. NO ALERT. JUST A COBRA. 100% RISK. NO STOP ,1
09/11/2023 11:07 AM,mariac82,IN,MDB,11/17,450C,10.55,SWING,STOP AT YOUR OWN RISK. FOLLOWING FLOW. NO ALERT ,0
09/12/2023 6:42 AM,mariac82,IN,TTWO,9/15,146C,1.15,SWING,STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING FLOW. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL ,0
09/12/2023 12:58 PM,mariac82,IN,U,9/15,40.5C,0.45,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH FLOW ALERT. RISKY AF ,0
09/13/2023 7:33 AM,mariac82,IN,SE,10/13,40C,1.22,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & STEADY BULLISH ,1
09/18/2023 7:15 AM,mariac82,IN,AAPL,9/29,180C,1.59,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. REPEATER BULLISH ,1
09/18/2023 8:21 AM,mariac82,IN,TEAM,9/22,207.5C,3.4,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING FLOW ,0
09/27/2023 8:15 AM,mariac82,IN,PANW,11/17,230C,14.0,SWING,STOP AT YOUR OWN RISK. CORRECTING PREVIOUS POST: THE STRIKE IS 230 NOT 330. NO ALERT. JUST FOLLOWING FLOW ,1
09/28/2023 7:12 AM,mariac82,IN,AMZN,11/17,125C,7.53,&,7.55 SWING STOP AT YOUR OWN RISK. NO ALERT. POTENTIAL ER RUN UP PLAY ,1
09/28/2023 8:46 AM,mariac82,IN,RUN,11/17,15C,0.61,SWING,STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING ALERT. A LITTLE BIT FURTHER OTM THAN I'D LIKEBUT LETS SEE WHAT HAPPENS ,0
09/28/2023 11:21 AM,mariac82,IN,ABT,2/16,105C,3.1,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD ,0
09/29/2023 7:41 AM,mariac82,IN,DELL,10/20,71.5C,1.4,SWING,STOP AT YOUR OWN RISK. CORRECTING PREVIOUS POST. THE STRIKE IS 71.5 NOT 180. LARGE BULLISH ,0
10/02/2023 10:26 AM,mariac82,IN,SNAP,11/17,12C,0.21,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH FLOW ,1
10/03/2023 9:08 AM,mariac82,IN,CCL,4/19,13C,2.22,SWING,STOP AT YOUR OWN RISK. SWIFT & REPEATER BULLISH ,0
10/04/2023 8:37 AM,mariac82,IN,RUN,11/17,10C,1.29,SWING,STOP AT YOUR OWN RISK. SWIFT & RAPIDFIRE BULLISH. I STILL HAVE THE NOVEMBER 15CS AS WELL. I LIKE THIS STRIKE BETTER THAN THE 15S. HOLDING BOTH FOR NOW ,1
10/04/2023 12:22 PM,mariac82,IN,EWZ,10/6,30C,0.09,SWING,STOP AT YOUR OWN RISK. NO ALERTJUST FOLLOWING FLOW. COBRA. TREAT ACCORDINGLY ,0
10/12/2023 8:15 AM,mariac82,IN,AXTA,1/19,30C,0.8,SWING,STOP AT YOUR OWN RISK NOT AN ALERT. JUST FOLLOWING FLOW ,0
10/12/2023 8:55 AM,mariac82,IN,CL,10/20,70C,0.54,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH ,1
10/16/2023 8:21 AM,mariac82,IN,SHOP,2/16,65C,2.96,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH ,1
10/17/2023 8:51 AM,mariac82,IN,CL,5/17,75C,3.3,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH ,0
10/23/2023 8:59 AM,mariac82,IN,BLMN,11/17,25C,0.6,SWING,STOP AT YOUR OWN RISK. NO ALERT. COBRA. JUST FOLLOWING SOME FLOW. ER CONFIRMED FOR 11.3.2023 ,0
10/31/2023 6:56 AM,mariac82,IN,GLD,11/10,183C,3.8,SWING,STOP AT YOUR OWN RISK. COBRA. NO ALERT. FOLLOWING FLOW ,0
11/03/2023 8:22 AM,mariac82,IN,ENPH,1/19,80C,9.5,SWING,STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING FLOW. THIS ONE HAS BEEN GETTING BEATEN UP FOR A WHILE. ALTHOUGHITS NOT MY FAVORITE SPOT ON THE CHARTI'M WILLING TO RISK IT TO SEE IF THE FLOW WORKS. TRADE ACCORDINGLY ,1
11/06/2023 9:50 AM,mariac82,IN,LYV,1/19,87.5C,4.35,SWING,STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING FLOW ,0
11/13/2023 10:12 AM,mariac82,IN,GT,11/17,13.5C,0.3,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. COBRA. TRADE ACCORDINGLY ,1
11/13/2023 10:56 AM,mariac82,IN,AMZN,12/29,150C,2.74,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. ALPHA GOLD ,1
11/14/2023 7:28 AM,mariac82,IN,PFE,1/17/2025,35C,1.55,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH ,0
11/15/2023 6:40 AM,mariac82,IN,TGT,3/15,135C,6.6,SWING,STOP AT YOUR OWN RISK. NO ALERT. POST ER PLAY. THIS ONE COULD GET VOLATILE. TRADE ACCORDINGLY ,0
11/16/2023 6:44 AM,mariac82,IN,MSFT,11/17,375C,1.55,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. REPEATER BULLISH. COBRA ,1
11/17/2023 6:43 AM,mariac82,IN,GPS,3/15,17C,1.9,SWING,STOP AT YOUR OWN RISK. NOT A FLOW PLAY. POST ER PLAY. THIS ONE CAN BE A LITTLE TRICKY TO TRADE. PLEASE TRADE ACCORDINGLY ,0
11/17/2023 6:54 AM,mariac82,IN,SHOP,11/24,73C,0.31,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. COBRA ,0
11/17/2023 7:24 AM,mariac82,IN,ELF,12/1,115C,5.1,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. SMALL POSITION ,1
11/20/2023 10:11 AM,mariac82,IN,QCOM,12/22,130C,3.19,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH ,1
11/21/2023 10:43 AM,mariac82,IN,AMZN,12/1,142C,3.5,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH,1
11/28/2023 7:28 AM,mariac82,IN,W,3/15,60C,6.25,SWING,STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING FLOW. TRADE ACCORDINGLY,1
11/29/2023 11:10 AM,mariac82,IN,VFC,6/21,20C,1.6,SWING,STOP AT YOUR OWN RISK NO ALERT. JUST FOLLOWING FLOW,0
11/29/2023 12:32 PM,mariac82,IN,MRK,4/19,110C,1.82,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD. SMALL POSITION,0
11/30/2023 9:40 AM,mariac82,IN,GOOG,12/1,134C,0.4,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. COBRA. NO ALERT. JUST FOLLOWING FLOW. THIS WILL EITHER WORK OR IT WONT. TRADE ACCORDINGLY,0
11/30/2023 9:55 AM,mariac82,IN,SHOP,1/19,72C,5.0,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH,1
12/01/2023 7:23 AM,mariac82,IN,GTLB,1/17/2025,65C,9.4,SWING,STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING FLOW,1
12/01/2023 8:32 AM,mariac82,IN,CRM,12/8,260C,3.55,SWING,STOP AT YOUR OWN RISK. NO ALERT. FOLLOWING FLOW,0
12/01/2023 8:32 AM,mariac82,IN,ASO,12/8,55C,1.2,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH,0
12/04/2023 7:08 AM,mariac82,IN,DDOG,3/15,140C,3.6,SWING,STOP AT YOUR OWN RISK. SWIFT/RAPIDFIRE BULLISH ON THE MARCH 160CS. THOSE ARE A LITTLE TOO FAR OTM FOR ME SO IM GOING WITH THE 140CS INSTEAD,0
12/04/2023 9:11 AM,mariac82,IN,SPOT,12/15,210C,1.2,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH,0
12/04/2023 10:38 AM,mariac82,IN,LYFT,12/8,13C,0.4,SWING,STOP AT YOUR OWN RISK. ROULETTE BULLISH. COBRA. PLEASE TRADE ACCORDINGLY,0
12/04/2023 12:26 PM,mariac82,IN,TGT,1/19,140C,2.11,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH,1
12/05/2023 6:58 AM,mariac82,IN,M,12/15,17.5C,0.37,SWING,AT YOUR OWN RISK. STEADY BULLISH. COBRA. TRADE ACCORDINGLY,1
12/06/2023 6:38 AM,mariac82,IN,SHOP,12/8,73C,1.64,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING FLOW. COBRA. TRADE ACCORDINGLY,0
12/06/2023 7:01 AM,mariac82,IN,DAL,4/19,45C,1.31,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD,0
12/06/2023 7:22 AM,mariac82,IN,VEEN,6/21,200C,13.5,SWING,STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING FLOW. VEEV REPORTS TONIGHT. HOWEVER THE BUYER INTENDS ON HOLDING FOR LONGER THAN JUST A PLAY ON TODAY'S ER. ALSO THIS ONE IS THINLY TRADED. EXPECT THE CONTRACTS TO MOVE WEIRD,0
12/06/2023 7:22 AM,mariac82,IN,VEEV,6/21,200C,13.5,SWING,STOP AT YOUR OWN RISK. CORRECTING TICKER: VEEV NOT VEEN. NO ALERT. JUST FOLLOWING FLOW. VEEV REPORTS TONIGHT. HOWEVER THE BUYER INTENDS ON HOLDING FOR LONGER THAN JUST A PLAY ON TODAY'S ER. ALSO THIS ONE IS THINLY TRADED. EXPECT THE CONTRACTS TO MOVE WEIRD,0
12/07/2023 8:11 AM,mariac82,IN,MRVL,3/15,52.5C,4.7,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH,1
12/07/2023 11:03 AM,mariac82,IN,HSY,1/5,190C,5.7,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE & SWIFT BULLISH,0
12/08/2023 9:21 AM,mariac82,IN,FDX,12/15,272.5C,2.92,SWING,STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING FLOW. COBRA. TRADE ACCORDINGLY,1
12/11/2023 6:43 AM,mariac82,IN,PENN,12/15,25.5C,0.28,SWING,STOP AT YOUR OWN RISK. ROULETTE BULLISH. COBRA. TRADE ACCORDINGLY,1
12/12/2023 10:59 AM,mariac82,IN,TSM,3/15,100C,6.8,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH,0
12/13/2023 10:28 AM,mariac82,IN,WW,12/22,7C,0.5,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. COBRA. TRADE ACCORDINGLY,1
12/14/2023 6:53 AM,mariac82,IN,FIGS,4/19,10C,0.4,SWING,STOP AT YOUR OWN RISK STEADY BULLISH. MORE OF A COBRA PLAY,0
12/14/2023 7:43 AM,mariac82,IN,GT,4/19,16C,1.15,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/SWIFT BULLISH,0
12/14/2023 7:52 AM,mariac82,IN,ULTA,12/22,510C,2.35,SWING,STOP AT YOUR OWN RISK. NO ALERT. EXTREME COBRA. SMALL SWEEP CAME THROUGH IN THIS LINE. PLEASE TRADE ACCORDINGLY,0
12/15/2023 7:16 AM,mariac82,IN,U,1/5,40C,1.87,SWING,STOP AT YOUR OWN RISK. NO ALERT.. JUST FOLLOWING FLOW. MORE OF A COBRA... TRADE ACCORDINGLY,0
12/15/2023 7:39 AM,mariac82,IN,UNH,1/19,540C,12.55,SWING,STOP AT YOUR OWN RISK. NO ALERT. ER RUN UP PLAY. THESE CONTRACTS MAY MOVE AROUND A LOT. TRADE ACCORDINGLY,0
12/15/2023 7:39 AM,mariac82,IN,UNH,1/19,530C,12.55,SWING,STOP AT YOUR OWN RISK. CORRECTION TO ORIGINAL POST: THE STRIKE IS 530 NOT 540,0
12/15/2023 10:26 AM,mariac82,IN,PINS,2/14,41C,1.28,SWING,STOP AT YOUR OWN RISK. NO ALERT BUT DECENT FLOW,0
12/18/2023 6:57 AM,mariac82,IN,ORCL,2/16,110C,2.41,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH,0
12/18/2023 11:35 AM,mariac82,IN,MSFT,1/19,377.5C,7.09,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD EARLIER TODAY,0
12/19/2023 8:04 AM,mariac82,IN,PYPL,1/5,66C,0.85,SWING,STOP AT YOUR OWN RISK. NO ALERT. JUST FOLLOWING FLOW. COBRA. PLS TRADE ACCORDINGLY,0
12/19/2023 10:06 AM,mariac82,IN,LVS,1/26,51C,1.24,SWING,STOP AT YOUR OWN RISK LARGE BULLISH SWIFT BULLISH RAPIDIFRE BULLISH AND ALPHA GOLD,0
12/20/2023 6:55 AM,mariac82,IN,CVS,12/22,79C,0.33,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. EXTREME COBRA. STEADY BULLISH. TRADE ACCORDINGLY,0
12/20/2023 11:18 AM,mariac82,IN,C,3/15,55C,1.1,SCALP,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH,0
