order_execution_datetime,trader,direction,ticker,expiration,contract_details,contract_price,timeframe,comment
12/01/2022 11:50 AM,MariaC82,IN,TQQQ,12/9,23C,1.43,SWING,STOP AT YOUR OWN RISK. NO ALERT. FOLLOWING FLOW. RISKY AF 
12/02/2022 9:53 AM,MariaC82,IN,SBUX,6/15,105C,9.60,SWING,STOP AT YOUR OWN RISK. LARGE & STEADY BULLISH 
12/05/2022 7:45 AM,MariaC82,IN,PYPL,12/9,76C,1.13,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH. RISKY AF. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL 
12/06/2022 8:21 AM,MariaC82,IN,VFC,1/24,37.5C,2.35,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD. I PLAN ON HOLDING FOR A LONG TIME Thread everyone MariaC82 IN VFC 124 37 5C 2 35 4 Messages › There are no recent messages in this thread. MariaC82 — 12/06/2022 8:23 AM
12/21/2022 6:54 AM,MariaC82,IN,WBD,1/6,9.5C,0.37,SWING,STOP AT YOUR OWN RISK CORRECTION TO PREVIOUS POST: THE TICKER IS WBD NOT WBC. SWIFT & RAPIDFIRE BULLISH. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL Rafi from Money land started a thread: everyone MariaC82 IN VFC 124 37 5C 2 35 . See all threads . — 12/21/2022 6:55 AM 
12/28/2022 8:46 AM,MariaC82,IN,HOG,1/20,41C,1.40,SWING,"STOP AT YOUR OWN RISK. WE ALERTED THE 1.6.2023 41Cs. FOLLOW UP FLOW INTO THE JAN 41Cs. I LIKE THE EXTRA TIME WITH THE JAN EXPWHICH IS WHY I TOOK THE JAN EXP. SMALL POSITION. 100% RISK "
12/28/2022 10:12 AM,MariaC82,IN,FIS,4/21,75C,2.80,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD 
01/03/2023 6:40 AM,MariaC82,OUT,WBD,1/6,9.5C,0.47,SWING,OUT OF ALL. THESE ARE GREEN AGAIN.. TAKING IT WHILE I CAN 
01/04/2023 11:05 AM,MariaC82,IN,M,3/17,24C,1.37,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH 
01/06/2023 7:24 AM,MariaC82,IN,MRVL,3/17,37.5C,2.43,SWING,STOP AT YOUR OWN RISK RAPIDFIRE BULLISH 
01/12/2023 6:58 AM,MariaC82,IN,LYFT,1/27,14.5C,0.53,SWING,STOP AT YOUR OWN RISK. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL. SWIFT & RAPIDFIRE BULLISH 
01/12/2023 10:06 AM,MariaC82,OUT,MRVL,3/17,37.5C,5.15,SWING,OUT OF 1/2: 5.15 FROM 2.43 
01/23/2023 7:35 AM,MariaC82,OUT,LYFT,1/27,14.5C,1.23,SWING,OUT OF ALL: 1.23 FROM 0.53 
01/23/2023 8:16 AM,MariaC82,OUT,MRVL,3/17,37.5C,6.30,SWING,OUT OF SOME MORE. 6.30 FROM 2.43. LEAVING A FEW RUNNERS 
01/23/2023 12:38 PM,MariaC82,IN,ADI,1/27,172.5C,1.30,SWING,STOP AT YOUR OWN RISK ROULETTE BULLISH. COBRA. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL 
01/24/2023 9:16 AM,MariaC82,IN,PANW,3/17,170C,2.67,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH. COBRA. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL Thread everyone MariaC82 IN PANW 3 17 170C 2 3 Messages › There are no recent messages in this thread. 
01/26/2023 6:41 AM,MariaC82,IN,CRM,2/10,170C,1.24,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL 
01/26/2023 12:38 PM,MariaC82,OUT,CRM,2/10,170C,2.47,SWING,OUT OF MOST: 2.47 FROM 1.24. LEAVING A FEW RUNNERS JUST FOR FUN. PLEASE DONT WAIT FOR ME TO EXIT THE REST! Fireguy343 started a thread: everyone MariaC82 IN PANW 3 17 170C 2 . See all threads . — 01/26/2023 12:38 PM 
01/27/2023 6:53 AM,MariaC82,IN,FTCH,2/10,7C,0.37,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE & STEADY BULLISH. COBRA. 100%RISK 
01/27/2023 7:10 AM,MariaC82,IN,EBAY,7/21,50C,4.21,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH 
01/30/2023 7:07 AM,MariaC82,IN,SHOP,2/3,45.5C,4.01,SWING,"POSSIBLE SCALP STOP AT YOUR OWN RISK. ROULETTE AND LARGE BULLISHRISKY AF. COBRADONT TAKE UNLESS WILLING TO LOSE ALL "
02/01/2023 6:51 AM,MariaC82,IN,SNAP,1/19/2024,13C,1.71,SWING,"STOP AT YOUR OWN RISK. REPEATER BULLISH. RISKY AF. YESTHIS BREAKS THE 3 DAY RULEBUT IM OK WITH IT B/C OF THE TIME BOUGHT ON THE CONTRACTS "
02/01/2023 7:03 AM,MariaC82,OUT,CRM,2/10,170C,3.27,SWING,OUT OF THE REST: 3.27 FROM: 1.24 
02/01/2023 11:53 AM,MariaC82,OUT,FTCH,2/10,7C,0.57,SWING,OUT OF 1/2 
02/02/2023 6:32 AM,MariaC82,OUT,SHOP,2/3,45.5C,7.80,SWING,OUT OF ALL: 7.80 FROM 4.01 
02/02/2023 6:36 AM,MariaC82,IN,AI,3/3,22C,3.80,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH Thread AI 3/3 22c 7 Messages › There are no recent messages in this thread. 
02/02/2023 6:51 AM,MariaC82,OUT,FTCH,2/10,7C,1.10,SWING,OUT OF THE REST: 1.05 FROM: 0.37
02/02/2023 6:51 AM,MariaC82,OUT,FTCH,2/10,7C,1.05,SWING,OUT OF ALL CORRECTION: OUT AT 1.05 NOT 1.10 YouCanCallmeAL97 started a thread: AI 3/3 22c . See all threads . — 02/02/2023 7:02 AM 
02/02/2023 10:13 AM,MariaC82,IN,GM,4/21,50C,0.35,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. COBRA. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL 
02/03/2023 6:53 AM,MariaC82,IN,SNOW,7/21,235C,9.45,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. DONT TAKE UNLESS WILLING TO LOSE ALL 
02/03/2023 8:07 AM,MariaC82,OUT,AI,3/3,22C,6.30,SWING,OUT OF 1/2: 6.30 FROM: 3.80 
02/03/2023 8:19 AM,MariaC82,IN,YEXT,2/17,10C,0.35,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. COBRA. DONT TAKE UNLESS WILLING TO LOSE ALL. 100% RISK 
02/06/2023 6:34 AM,MariaC82,IN,MSFT,8/18,265C,19.47,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD. HIGH RISK. PLAY ACCORDINGLY 
02/06/2023 7:14 AM,MariaC82,IN,BBAI,6/16,10C,0.85,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL 
02/07/2023 6:38 AM,MariaC82,OUT,AI,3/3,22C,6.73,SWING,OUT OF MORE: 6.73 FROM: 3.80. CORRECTION TO PREVIOUS POST: DOWN TO 1 CONTRACT. YOLO ON THE LAST ONE 
02/07/2023 12:28 PM,MariaC82,IN,ZI,3/17,30C,2.30,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH 
02/08/2023 6:33 AM,MariaC82,OUT,MSFT,8/18,265C,28.05,SWING,OUT OF 1/2: 28.05 FROM: 19.47
02/08/2023 6:33 AM,MariaC82,OUT,PANW,3/3,170C,5.50,SWING,OUT OF 1/2: 5.50 FROM: 2.67 
02/09/2023 8:00 AM,MariaC82,IN,NVDA,3/17,270C,4.50,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. SUPER RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL. 100% RISK Thread NVDA 10 Messages › There are no recent messages in this thread. 
02/09/2023 12:07 PM,MariaC82,IN,CRM,3/17,190C,4.00,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY.. ER RUN UP PLAY YouCanCallmeAL97 started a thread: NVDA . See all threads . — 02/10/2023 2:06 AM 
02/16/2023 6:55 AM,MariaC82,IN,DDD,3/17,12C,0.87,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL 
02/21/2023 7:37 AM,MariaC82,OUT,PANW,3/18,170C,6.00,SWING,OUT OF THE REST: 6.00 FROM: 2.87 MariaC82 — 02/21/2023 7:37 AM
02/21/2023 7:47 AM,MariaC82,OUT,PANW,3/17,170C,7.38,SWING,OUT OF ALL: 7.38 FROM: 2.67. On the previous exit: so sorry yall.. i had 2 open panw positions.. 170s for 3/3 and 170s for 3/18.  The position i exited before was the 3/3 expiration.  This is the exit for the 3/17** 
02/27/2023 6:54 AM,MariaC82,IN,UPST,3/17,21C,0.59,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL. 100% RISK 
02/27/2023 10:44 AM,MariaC82,IN,CUBE,4/21,50C,1.30,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH 
03/02/2023 6:32 AM,MariaC82,OUT,CRM,3/17,190C,8.00,SWING,OUT OF ALL: FROM: 4.00 TO 8 & 7.75 
03/07/2023 11:45 AM,MariaC82,IN,WW,1/17/2025,7.5C,3.00,SWING,STOP AT YOUR OWN RISK. NO FLOW. NO ALERT. FOLLOWING BASED ON NEWS. STARTER POSITION.. MIGHT BE LOOKING TO ADD THE JAN 2025 10Cs AT SOME POINT MariaC82 — 03/07/2023 11:47 AM
03/09/2023 11:15 AM,MariaC82,IN,AAPL,7/21,180C,1.96,SWING,"STOP AT YOUR OWN RISK. SUPER RISKY AF. I LIKE THE FLOWBUT NOT NECESSARILY HOW FAR OTM THESE ARE. ONLY RISK WHAT YOURE WILLING TO LOSE "
03/10/2023 11:46 AM,MariaC82,IN,NUE,3/31,165C,3.78,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH: THIS IS A STARTER POSITION. MAY LOOK TO ADD LOWER IF WE GET AN OPPORTUNITY TO 
03/14/2023 12:40 PM,MariaC82,IN,AMZN,12/19/2025,110C,20.95,SWING,"STOP AT YOUR OWN RISK. CALL ME CRAZYBUT I LIKE IT.. LARGE BULLISH/ALPHA GOLD. YESI WILL PROBABLY HOLD UNTIL CLOSE TO EXPIRATION. IF YOURE NOT WILLING TO DO THE SAMETHEN THIS IS NOT THE TRADE FOR YOU "
03/16/2023 7:22 AM,MariaC82,IN,TSM,3/17,86C,1.30,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. ROULETTE BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL 
03/16/2023 8:31 AM,MariaC82,OUT,TSM,3/17,86C,2.06,SWING,POSSIBLE SCALP OUT OF 1/2 
03/16/2023 9:06 AM,MariaC82,OUT,TSM,3/17,86C,2.29,SWING,OUT OF SOME MORE JUST A FEW CONTRACTS LEFT
03/16/2023 9:06 AM,MariaC82,OUT,TSM,3/17,86C,2.10,SCALP,OUT OF THE REST 
03/16/2023 11:48 AM,MariaC82,IN,TSM,5/19,90C,5.05,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. RISKY TRADE 
03/17/2023 8:10 AM,MariaC82,IN,HOG,3/24,37C,1.15,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH 
03/20/2023 6:51 AM,MariaC82,IN,PAAS,4/21,21C,0.40,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL 
03/20/2023 7:01 AM,MariaC82,IN,GOLD,4/21,21C,0.25,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH. ANOTHER YOLO. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL MariaC82 — 03/20/2023 7:04 AM
03/20/2023 7:20 AM,MariaC82,OUT,HOG,3/24,37C,1.42,SWING,OUT OF 3/4THs 
03/21/2023 8:12 AM,MariaC82,OUT,HOG,3/24,37C,2.85,SWING,OUT OF THE REST: 2.85 FROM: 1.15 
03/22/2023 6:53 AM,MariaC82,OUT,TSM,5/19,90C,8.35,SWING,OUT OF 1/2: 8.35 FROM: 5.05 
03/23/2023 6:48 AM,MariaC82,IN,ONON,7/21,35C,1.50,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH. SMALL POSITION 
03/24/2023 11:59 AM,MariaC82,IN,SHOP,5/19,50C,2.53,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD Thread SHOP 5/19 50C 19 Messages › There are no recent messages in this thread. YouCanCallmeAL97 started a thread: SHOP 5/19 50C . See all threads . — 03/27/2023 2:11 PM 
03/29/2023 6:55 AM,MariaC82,IN,CCJ,9/15,32C,1.05,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH & ALPHA GOLD 
03/29/2023 7:05 AM,MariaC82,IN,BOX,5/19,26C,1.25,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH 
03/29/2023 9:43 AM,MariaC82,IN,LULU,4/21,380C,5.22,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH INTO THE APRIL 400Cs.. THOSE WERE TOO FAR OTM FOR ME SO I TOOK THE APRIL 380Cs INSTEAD. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL 
03/30/2023 9:54 AM,MariaC82,IN,ULTA,1/19/2024,540C,64.85,SWING,STOP AT YOUR OWN RISK. SUPER RISKY AF. LARGE & SWIFT BULLISH. ALSO AN ALPHA GOLD. THESE CONTRACTS ARE SUPER EXPENSIVE AND I'M EXPECTING THEM TO MOVE AROUND A LOT. IM ALSO COMFORTABLE HOLDING THESE UNTIL CLOSE TO EXPIRATION IF NEEDED. DO NOT TAKE THIS TRADE IF YOURE NOT WILLING TO LOSE ON IT 
03/30/2023 11:20 AM,MariaC82,IN,UNH,6/16,470C,22.60,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH FLOW ALERT 
03/31/2023 9:09 AM,MariaC82,OUT,ULTA,1/19/2024,540C,70.00,SWING,"OUT OF ALL. I WOULD HAVE LOVED TO STAY IN THISHOWEVER IT LOOKS LIKE THEY DID A COMPLETE EXIT. SINCE I FOLLOWED THEM INIM FOLLOWING THEM OUT. WILL REVIST IF THEY DECIDE TO COME BACK INTO THIS LINE. "
04/05/2023 6:39 AM,MariaC82,OUT,UNH,6/16,470C,43.22,SWING,OUT OF 3/4TH: 43.22 FROM: 22.60 
04/05/2023 7:36 AM,MariaC82,OUT,UNH,6/16,470C,47.35,SWING,"OUT OF THE REST: 47.35 FROM: 22.60. I WILL REVIST THIS PLAY IF THEY COME BACK FOR MORE. UNH COULD KEEP GOINGBUT I'M HAPPY WITH THE MOVE WE GOT. "
04/05/2023 10:22 AM,MariaC82,IN,ZS,7/21,125C,4.86,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH. RISKIER TRADE 
04/10/2023 7:00 AM,MariaC82,IN,MRVL,6/16,40C,3.50,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH FLOW ALERT 
04/11/2023 6:57 AM,MariaC82,IN,CAT,8/18,260C,3.50,SWING,STOP AT YOUR OWN RISK. SWIFT AND RAPIDFIRE BULLISH FLOW ALERTS 
04/14/2023 6:47 AM,MariaC82,IN,NET,4/28,64C,5.10,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL 
04/14/2023 7:51 AM,MariaC82,OUT,NET,4/28,64C,4.30,SWING,OUT OF ALL. LOOKS LIKE DID ALMOST A COMPLETE EXIT ON THIS. FOLLOWING THEM OUT. WILL REVISIT IF WE SEE MORE ACTIVITY INTO NET 
04/14/2023 10:47 AM,MariaC82,IN,NVDA,6/16,242.5C,35.10,SWING,STOP AT YOUR OWN RISK **LARGE BULLISH & ALPHA GOLD. SHOULD CATCH ANY RUN UP TO ER. THIS IS A SPECULATIVE TRADE AND AN EXPENSIVE CONTRACT. DONT TAKE THIS IF YOU CANT HANDLE THE MOVES OR CANT TAKE A LARGER LOSS (IF NEEDED) 
04/17/2023 10:04 AM,MariaC82,IN,UBER,8/18,35C,2.28,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. RISKY AF. DONT TAKE UNLESS YOURE WILLING TO RISK ALL 
04/25/2023 7:30 AM,MariaC82,IN,PHG,10/20,25C,0.75,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH 
04/26/2023 9:45 AM,MariaC82,IN,ROST,6/16,105C,5.40,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH 
05/01/2023 12:52 PM,MariaC82,IN,PANW,6/21/2024,195C,27.20,SWING,"STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD. ONLY BOUGHT 2 CONTRACTS. 1 FILLED @27.201 FILLED @27.15. DONT TAKE UNLESS YOURE WILLING TO HOLD FOR A LONG TIME "
05/03/2023 9:19 AM,MariaC82,OUT,UBER,8/18,35C,5.36,SWING,OUT OF 1/2: 5.36 FROM: 2.28 
05/04/2023 6:31 AM,MariaC82,OUT,SHOP,5/19,50C,6.10,SWING,OUT OF ALL: 6.10 FROM: 2:54 Thread everyone MariaC82 OUT SHOP 5 19 50C 6 3 Messages › There are no recent messages in this thread. 
05/10/2023 10:58 AM,MariaC82,IN,GOOGL,8/18,115C,5.30,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH 
05/11/2023 6:39 AM,MariaC82,OUT,GOOGL,8/18,115C,9.15,SWING,OUT OF A COUPLE: 9.15 FROM: 5.30 
05/12/2023 12:02 PM,MariaC82,IN,SBUX,10/20,110C,5.85,SWING,STOP AT YOUR OWN RISK SWIFT BULLISH AND ALPHA GOLD 
05/17/2023 7:39 AM,MariaC82,IN,DIS,6/2024,110C,6.60,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. SUPER SMALL POSITION. DONT TAKE UNLESS YOURE WILLING TO HOLD INTO NEXT YEAR 
05/19/2023 7:06 AM,MariaC82,OUT,BOX,5/18,26C,1.55,SWING,OUT OF ALL 
05/19/2023 7:22 AM,MariaC82,IN,GOOG,6/23,132C,1.58,SWING,STOP AT YOUR OWN RISK STEADY BULLISH Thread everyone MariaC82 IN GOOG 6 23 132C 1 5 Messages › There are no recent messages in this thread. 
05/24/2023 9:03 AM,MariaC82,IN,PFE,1/2024,50C,0.45,SWING,STOP AT YOUR OWN RISK RAPIDFIRE BULLISH 
05/24/2023 9:40 AM,MariaC82,OUT,NVDA,6/16,242.5C,59.87,SWING,OUT OF ALL: 59.87 FROM: 35.10 Thread everyone MariaC82 OUT NVDA 6 16 242 5C 8 Messages › There are no recent messages in this thread. 
05/25/2023 9:42 AM,MariaC82,IN,TSM,10/20,105C,8.13,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH 
05/25/2023 11:02 AM,MariaC82,OUT,MRVL,6/16,40C,8.81,SWING,OUT OF ALL: 8.81 FROM: 3.50 Thread everyone MariaC82 OUT MRVL 6 16 40C 8 4 Messages › There are no recent messages in this thread. masterwayne started a thread: everyone MariaC82 OUT MRVL 6 16 40C 8 . See all threads . — 05/26/2023 7:14 AM masterwayne started a thread: everyone MariaC82 IN GOOG 6 23 132C 1 . See all threads . — 05/30/2023 7:13 PM 
05/31/2023 6:42 AM,MariaC82,OUT,ZS,7/20,125c,17.30,SWING,OUT OF ALL: 17.30 FROM 4.86 Thread everyone MariaC82 OUT ZS 7 20 125c 17 1 Message › There are no recent messages in this thread. 
06/02/2023 6:46 AM,MariaC82,IN,BA,9/15,215C,13.70,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD. RISKIER TRADE Thread BA 9/15-215C-13.7 5 Messages › There are no recent messages in this thread. masterwayne started a thread: everyone MariaC82 OUT ZS 7 20 125c 17 . See all threads . — 06/02/2023 8:09 AM 
06/05/2023 6:33 AM,MariaC82,IN,AAPL,7/21,180C,7.55,SWING,STOP AT YOUR OWN RISK. OUT OF ALL: 7.55 FROM: 1.96 Who'sGotMyMoney? started a thread: BA 9/15-215C-13.7 . See all threads . — 06/06/2023 7:15 PM 
